scorer,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000
bodyparts,north,north,north,east,east,east,south,south,south,west,west,west
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
23,103.72213745117188,59.515907287597656,1.0,154.91363525390625,65.39141082763672,1.0,145.53146362304688,113.01944732666016,1.0,104.22845458984375,105.10606384277344,1.0
24,103.27529907226562,59.7346305847168,1.0,154.48812866210938,65.1106185913086,1.0,145.43666076660156,112.7063217163086,1.0,104.23072814941406,105.37489318847656,1.0
25,103.67789459228516,59.547996520996094,1.0,154.70700073242188,65.55378723144531,1.0,144.93736267089844,112.61688995361328,1.0,103.68058776855469,104.94152069091797,1.0
26,103.67789459228516,59.547996520996094,1.0,154.70700073242188,65.55378723144531,1.0,144.93736267089844,112.61688995361328,1.0,103.68058776855469,104.94152069091797,1.0
27,103.0525894165039,60.206424713134766,1.0,154.02783203125,64.9782485961914,1.0,145.25820922851562,112.77790069580078,1.0,104.00253295898438,105.41426849365234,1.0
28,103.0525894165039,60.206424713134766,1.0,154.02783203125,64.9782485961914,1.0,145.25820922851562,112.77790069580078,1.0,104.00253295898438,105.41426849365234,1.0
29,103.43379211425781,59.9143180847168,1.0,154.28648376464844,64.41616821289062,1.0,145.20355224609375,112.56837463378906,1.0,104.09164428710938,105.02743530273438,1.0
30,103.21609497070312,60.265708923339844,1.0,153.9686279296875,64.7527084350586,1.0,145.2196044921875,112.60346984863281,1.0,104.1875991821289,105.06280517578125,1.0
31,103.38282775878906,60.15127944946289,1.0,154.31893920898438,65.34208679199219,1.0,144.794677734375,112.79850006103516,1.0,103.98652648925781,105.2657241821289,1.0
32,103.36687469482422,60.431915283203125,1.0,154.34031677246094,65.7481460571289,1.0,144.78244018554688,112.49382781982422,1.0,104.12935638427734,105.1340103149414,1.0
33,103.36687469482422,60.431915283203125,1.0,154.34031677246094,65.7481460571289,1.0,144.78244018554688,112.49382781982422,1.0,104.12935638427734,105.1340103149414,1.0
34,103.19017028808594,60.66010665893555,1.0,154.13442993164062,65.55870819091797,1.0,144.89549255371094,112.75617980957031,1.0,104.19187927246094,105.4141845703125,1.0
35,103.43006896972656,60.62490463256836,1.0,154.13333129882812,65.3573226928711,1.0,144.67788696289062,112.42343139648438,1.0,104.17395782470703,105.1009521484375,1.0
36,103.48905181884766,60.631168365478516,1.0,154.26454162597656,65.64061737060547,1.0,145.0185089111328,112.44908905029297,1.0,104.37025451660156,105.07106018066406,1.0
37,103.4691162109375,60.84381103515625,1.0,154.27142333984375,66.0558853149414,1.0,144.2554168701172,112.93572235107422,1.0,103.73768615722656,105.4447250366211,1.0
38,103.20854187011719,60.79606628417969,1.0,154.15118408203125,65.93031311035156,1.0,144.31451416015625,112.71288299560547,1.0,103.87619018554688,105.43868255615234,1.0
39,103.58863067626953,60.7418098449707,1.0,153.78074645996094,65.62923431396484,1.0,145.02838134765625,112.55169677734375,1.0,104.1997299194336,105.27078247070312,1.0
40,103.58863067626953,60.7418098449707,1.0,153.78074645996094,65.62923431396484,1.0,145.02838134765625,112.55169677734375,1.0,104.1997299194336,105.27078247070312,1.0
41,103.42436218261719,60.880184173583984,1.0,153.91189575195312,65.35404968261719,1.0,144.5441131591797,112.73345947265625,1.0,104.02291870117188,105.23751831054688,1.0
